[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 09:28:37.145	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:81	系统执行脚本出错!!!	{"error": "exec: \"bash\": executable file not found in %PATH%"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:24:31.154	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: raw_clean_dir"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:24:33.968	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: raw_clean_dir"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:24:40.419	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: analysis_type"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:24:41.633	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: analysis_type"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:24:43.343	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: sample_info"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:24:44.029	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: sample_info"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:24:45.724	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: species_names"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:24:53.569	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: species_names"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:25:04.387	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: category"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:27:23.544	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: raw_clean_dir"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:28:38.435	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: analysis_type"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:31:04.006	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: analysis_type"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:37:35.206	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: raw_clean_dir"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:37:36.525	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:145	获取转录组信息失败	{"error": "非法的排序字段: raw_clean_dir"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:56:36.962	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:121	更新失败,疑似项目号已经存在!	{"error": "存在相同ProjectNo项目号修改失败"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:57:42.230	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:121	更新失败,疑似项目号已经存在!	{"error": "存在相同ProjectNo项目号修改失败"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 10:58:00.111	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:121	更新失败,疑似项目号已经存在!	{"error": "存在相同ProjectNo项目号修改失败"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 11:01:47.748	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:121	更新失败,疑似项目号已经存在!	{"error": "存在相同ProjectNo项目号修改失败"}
[github.com/flipped-aurora/gin-vue-admin/server]2022/08/17 - 11:02:30.090	[31merror[0m	D:/gin-vue-admin-main/gin-vue-admin-main/server/api/v1/system/sys_trs.go:121	更新失败,疑似项目号已经存在!	{"error": "存在相同ProjectNo项目号修改失败"}
